PGC_name         T_PGC  T_PGC_err     type           D25         R25          PA     B_T_mag   e_B_T_mag       B_V_T     e_B_V_T          cz           z
PGC0007042           6         1.2     .SB.6*.        1.14        0.23          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007046          10         1.3     .I..9*.           1        0.43       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007063           2         0.9     .S..2..        0.95        0.35         153      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007064        -2.5         0.6     .LB.-*.        1.33        0.25       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007090          -5         1.6     .E...?.        1.03      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        5593     0.01866
PGC0007114           4           1     .S..4..        0.95         0.7         166      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007118        -3.7         0.5     .E+..*.        1.24      -99.99       -9999          13         0.2        0.93        0.02       -9999      -99.99
PGC0007210         4.5         0.6     .SBR5P.        1.12         0.1       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007246           7         0.9     .S..7..           1        0.29          90      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007262         3.4         0.6     .SBT3?.        1.53        0.49          45       13.09        0.14        0.51        0.02       -9999      -99.99
PGC0007328           6         1.3     .S..6*.        1.13        0.75         155      -99.99      -99.99      -99.99      -99.99        6648     0.02218
PGC0007341           1         0.9     .S..1..        1.14        0.65         154      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007366           3         1.3     .S..3*.           1        0.35       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007465           4         0.6     .SBR4*.        1.22        0.32          30      -99.99      -99.99      -99.99      -99.99        6973     0.02326
PGC0007485         4.6         0.6     .SBR5P.        1.08        0.09       -9999        13.6         0.4        0.52        0.04        4814     0.01606
PGC0007533           7         0.8     .S..7..        1.19        0.23         145      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007536          -2         0.8     .L.....        1.18        0.11         165      -99.99      -99.99      -99.99      -99.99        4595     0.01533
PGC0007574           2         0.9     .S..2..        1.04        0.59         147      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007632           3         0.7     RSAT3*.        1.39        0.11       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007654          10         1.2     .IBS9*.        1.22        0.19       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007740           5         0.6     .SAT5*.        1.01        0.07          10        13.7        0.15      -99.99      -99.99        5950     0.01985
PGC0007741         0.5         0.5     PSBS1*.         1.3        0.06         100       12.97        0.17      -99.99      -99.99        5831     0.01945
PGC0007748          -5         0.8     .E.....        1.06        0.15       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007806         6.8         0.8     .S..7?/        1.45         1.1       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007835           6         1.8     .S..6P?        1.08        0.51       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007846          -2         0.8     .LX.0..        1.19        0.27         135      -99.99      -99.99      -99.99      -99.99        3648     0.01217
PGC0007856           3         1.1     .SB.3*.        1.44         0.3           5      -99.99      -99.99      -99.99      -99.99        3534     0.01179
PGC0007889          -1         1.2     RL..+*.        1.17        0.15       -9999      -99.99      -99.99      -99.99      -99.99        5418     0.01807
PGC0007905           7         1.3     .SBS7*.        1.04        0.18       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007965          -5         1.6     .E...?.        1.23        0.11          25      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007966           6         1.2     .S..6*.        1.18        0.36          82      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007979           6         1.4     .S..6*.         1.1        0.83         150      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007998         9.4         0.6     .SBS9P*        1.21         0.3       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
