PGC_name         cz      redshift   nedname 
PGC021774        4048      0.0135    NGC_2444
PGC021776        4002     0.01335    NGC_2445
PGC021782        5810     0.01938   UGC_04011
PGC021786        8489     0.02832 CGCG_206-025
PGC021789        8254     0.02753 CGCG_148-016
PGC021802        4892     0.01632    NGC_2449
PGC021819        6496     0.02167   UGC_04022
PGC021847        4415     0.01473   UGC_04029
PGC021849        6852     0.02286   UGC_04031
PGC021857        8123      0.0271   UGC_04032
PGC021891        3971     0.01325   UGC_04034
PGC021909        3706     0.01236   UGC_04039
PGC021918        4793     0.01599     IC_2207
PGC021919        4634     0.01546   UGC_04044
PGC021927        8292     0.02766   UGC_04042
PGC021940        4282     0.01428   UGC_04047
PGC021976        2121    0.007075   UGC_04054
PGC021978        8494     0.02833   UGC_04058
PGC021983        4748     0.01584   UGC_04055
PGC022008        9625      0.0321   UGC_04056
PGC022032        7903     0.02636   UGC_04061
PGC022042        4311     0.01438   UGC_04064
PGC022052       -9999      -99.99   UGC_04062
PGC022063       12355     0.04121   UGC_04068
PGC022093        7319     0.02441   UGC_04070
PGC022096        4665     0.01556   UGC_04077
PGC022110        6824     0.02276   UGC_04072
PGC022134        7186     0.02397   UGC_04074
PGC022143        4751     0.01585   UGC_04086
PGC022144        5954     0.01986   UGC_04081
PGC022151        5002     0.01669   UGC_04084
PGC022162        6742     0.02249   UGC_04082
PGC022176        3797     0.01266   UGC_04087
PGC022188        4559     0.01521     IC_0480
PGC022205        4673     0.01559   UGC_04099
PGC022260        3729     0.01244    NGC_2476
PGC022266        4610     0.01538    NGC_2485
PGC022279        3504     0.01169   UGC_04107
PGC022297        5270     0.01758   UGC_04113
PGC022305         773    0.002578   UGC_04117
PGC022314        5360     0.01788     IC_2211
PGC022317        4649     0.01551    NGC_2486
PGC022321        5629     0.01878    NGC_2474
PGC022322        5583     0.01862    NGC_2475
PGC022340        3839      0.0128   UGC_04120
PGC022343        4841     0.01615    NGC_2487
PGC022350       12842     0.04284    NGC_2484
PGC022378       17728     0.05913   UGC_04131
PGC022381        5219     0.01741   UGC_04132
PGC022389        4709     0.01571   UGC_04140
PGC022391        4889     0.01631   UGC_04139
PGC022397        6784     0.02263    NGC_2492
PGC022403        4720     0.01574    NGC_2498
PGC022404        4623     0.01542   UGC_04145
PGC022408       12387     0.04132   UGC_04147
PGC022417        5913     0.01972     IC_2214
PGC022418        6695     0.02233   UGC_04136
PGC022443        8338     0.02781     IC_0485
PGC022445        8057     0.02688     IC_0486
PGC022446         716    0.002388   UGC_04148
PGC022453        5506     0.01837    NGC_2503
PGC022468        3955     0.01319   UGC_04157
PGC022495        4553     0.01519   UGC_04167
PGC022501        4787     0.01597   UGC_04170
PGC022510        4563     0.01522    NGC_2507
PGC022525         504    0.001681    NGC_2500
PGC022542        9999     0.03335   UGC_04177
PGC022554        9280     0.03096   UGC_04183
PGC022565        5225     0.01743     IC_2219
PGC022581        4856      0.0162    NGC_2514
